matchid,teamid,win,kda,totdmgdealt,totdmgtochamp,totdmgtaken,goldearned,goldspent,totminionskilled,neutralminionskilled,champlvl,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills,duration
137088,100,1.0,1.92,149747.4,28605.6,27046.8,14505.0,12824.0,129.4,24.0,16.4,1,1,1,0,0,1,9,1,1,2,1,2080
137088,200,0.0,2.8375180375180373,116596.6,19124.2,34620.2,12547.6,11950.0,135.8,21.2,15.2,0,0,0,1,1,0,5,0,1,1,0,2080
137089,100,0.0,1.45,90136.0,16536.8,27288.8,9119.2,8520.0,98.2,19.0,12.8,0,0,0,0,1,1,1,0,0,1,1,1757
137089,200,1.0,6.005128205128205,130389.4,22726.8,25250.2,12953.2,11487.0,115.8,21.6,15.0,1,1,1,1,0,0,11,3,1,2,0,1757
137090,100,0.0,1.67,87622.6,11183.6,16955.2,8835.6,8015.6,115.6,11.2,13.0,0,0,0,0,1,0,1,0,0,2,0,1615
137090,200,1.0,2.2051948051948047,104582.6,12184.2,18397.0,11567.0,10980.0,107.6,25.4,14.0,1,1,1,1,0,0,11,3,1,1,0,1615
137091,100,1.0,3.1809523809523816,165394.0,22544.4,30646.4,13714.8,11915.0,169.6,34.6,16.8,1,0,0,0,0,0,7,1,1,0,0,2196
137091,200,0.0,1.5206349206349208,142860.2,20827.6,31036.0,12288.8,12305.2,145.2,23.6,15.4,0,1,1,1,1,1,5,1,1,4,1,2196
137092,100,1.0,2.038095238095238,94524.8,15916.2,17248.6,11298.2,10126.6,105.8,23.8,13.8,0,1,1,0,1,1,9,1,0,2,1,1660
137092,200,0.0,0.8400000000000001,80993.2,12889.6,19797.8,9105.4,7973.6,109.4,17.4,12.8,1,0,0,0,0,0,1,0,0,0,0,1660
137093,100,0.0,2.0055078255078254,199593.6,32610.8,32294.4,15950.8,15270.0,180.2,30.0,17.6,0,0,0,0,0,0,3,0,0,3,0,2574
137093,200,1.0,2.5819047619047617,196168.2,25933.2,41145.4,17395.8,15270.6,180.2,32.0,17.6,1,1,1,1,1,1,11,4,2,3,1,2574
137094,100,0.0,1.7164285714285714,129714.0,22504.2,28973.2,11797.8,11405.0,142.4,16.0,15.2,0,1,0,0,1,0,3,0,0,1,0,2085
137094,200,1.0,4.118681318681318,190184.0,23613.2,28708.4,14593.4,13255.0,137.0,22.4,16.4,1,0,1,1,0,0,11,3,1,3,0,2085
137095,100,0.0,1.1133333333333335,103062.2,11971.4,17003.2,9449.4,9013.6,129.6,18.8,13.4,1,1,0,0,0,0,4,0,0,1,0,1792
137095,200,1.0,3.333333333333333,120937.4,12064.0,17208.6,11323.2,10015.0,138.8,24.0,14.4,0,0,1,1,1,0,11,3,1,2,0,1792
137096,100,0.0,0.9976190476190476,126843.0,15976.6,22618.0,11144.0,10876.6,137.4,21.2,13.6,0,1,0,0,0,0,6,0,0,2,0,1854
137096,200,1.0,4.1633838383838375,104355.8,16761.8,20422.4,11356.4,9215.0,119.8,21.2,15.2,1,0,1,1,1,0,5,1,1,1,0,1854
137097,100,1.0,4.327692307692308,156710.2,24596.4,28445.6,15256.8,13165.0,143.4,30.4,17.2,1,1,1,0,0,0,10,2,0,2,0,2267
137097,200,0.0,2.9787912087912085,135873.2,22837.8,30290.4,12984.0,12181.0,157.8,28.2,16.4,0,0,0,1,1,0,1,0,1,2,0,2267
137098,100,1.0,1.7111111111111108,151038.4,17498.0,25198.4,13671.2,11533.6,153.2,30.4,16.4,0,0,1,0,0,0,9,2,0,2,0,2072
137098,200,0.0,1.3523809523809525,136435.2,19215.0,22873.2,11820.0,11114.0,143.0,26.0,15.6,1,1,0,0,1,0,3,0,0,1,0,2072
137099,100,1.0,3.409126984126984,104233.4,14819.8,15465.4,11263.4,9635.0,119.4,20.2,14.0,0,0,1,1,1,0,8,1,1,3,0,1782
