matchid,teamid,win,kda,totdmgdealt,totdmgtochamp,totdmgtaken,goldearned,goldspent,totminionskilled,neutralminionskilled,champlvl,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills,duration
139177,100,0.0,1.375,44.80012224938875,6.066259168704156,12.567848410757945,5.192542787286063,4.972493887530562,0.06528117359413202,0.008068459657701709,0.0078239608801956,0,0,0,0,0,0,0.0006112469437652812,0.0,0.0,0.0,0.0,1636
139177,200,1.0,1.1976190476190476,74.30611246943765,10.64914425427873,9.867726161369195,7.305256723716381,6.171760391198044,0.07579462102689488,0.01503667481662592,0.00904645476772616,1,1,1,1,1,0,0.006112469437652812,0.0006112469437652812,0.0006112469437652812,0.0018337408312958435,0.0,1636
139178,100,0.0,2.153679653679654,65.09253886010363,9.447253886010364,14.966735751295335,6.073678756476683,5.676165803108808,0.07326424870466322,0.005699481865284974,0.008082901554404144,0,0,0,1,0,0,0.0010362694300518134,0.0,0.0005181347150259067,0.0005181347150259067,0.0,1930
139178,200,1.0,2.1408369408369405,66.09409326424871,11.501865284974091,13.258031088082902,6.9182383419689115,6.337616580310881,0.061865284974093264,0.012849740932642488,0.007875647668393783,1,1,1,0,1,0,0.005699481865284974,0.0025906735751295338,0.0,0.0010362694300518134,0.0,1930
139179,100,0.0,2.7067460317460315,64.99869158878505,11.931962616822428,16.75252336448598,6.2070093457943925,5.476168224299065,0.053084112149532715,0.010186915887850468,0.007663551401869158,0,0,1,0,0,1,0.002336448598130841,0.0009345794392523365,0.0,0.00046728971962616824,0.00046728971962616824,2140
139179,200,1.0,2.158263752071801,79.22401869158878,12.287196261682244,15.821495327102804,7.554672897196262,6.974299065420562,0.07336448598130843,0.014299065420560747,0.008130841121495326,1,1,0,1,1,0,0.0051401869158878505,0.0014018691588785046,0.00046728971962616824,0.0014018691588785046,0.0,2140
139180,100,0.0,2.03,41.34500768049155,4.9625192012288775,8.829493087557601,4.604147465437788,4.016436251920123,0.05960061443932412,0.01259600614439324,0.007680491551459293,1,0,0,0,1,0,0.0,0.0,0.0,0.0007680491551459293,0.0,1302
139180,200,1.0,1.4,50.133794162826426,6.582488479262673,7.906451612903226,6.193394777265746,5.421351766513057,0.06267281105990782,0.007987711213517665,0.008755760368663594,0,1,0,0,0,1,0.004608294930875576,0.0,0.0,0.0007680491551459293,0.0007680491551459293,1302
139181,100,0.0,1.44,29.89756097560976,5.284803001876173,10.458161350844277,4.652532833020637,4.778048780487804,0.04258911819887429,0.00900562851782364,0.008067542213883677,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1066
139181,200,1.0,2.77968253968254,45.065478424015005,8.422326454033772,9.905253283302065,7.3450281425891175,5.405253283302064,0.061538461538461535,0.005440900562851782,0.00975609756097561,1,1,1,0,1,0,0.0075046904315197,0.0009380863039399625,0.0,0.0009380863039399625,0.0,1066
139182,100,0.0,1.4166666666666667,46.8013986013986,7.4976478067387164,13.523204068658615,5.538334392879846,5.375079465988557,0.05708836617927528,0.011315956770502223,0.007883026064844248,1,1,0,0,1,0,0.0012714558169103624,0.0,0.0,0.0006357279084551812,0.0,1573
139182,200,1.0,2.59525641025641,63.75028607755881,10.869675778766688,10.837635092180548,7.023649078194532,5.9421487603305785,0.06954863318499682,0.014876033057851238,0.009027336300063572,0,0,1,1,0,0,0.00572155117609663,0.0006357279084551812,0.0006357279084551812,0.0006357279084551812,0.0,1573
139183,100,1.0,2.1424175824175817,64.90486257928119,9.403594080338266,12.664904862579279,7.220401691331924,6.045454545454546,0.0726215644820296,0.012156448202959831,0.008350951374207188,0,1,1,0,1,0,0.005813953488372093,0.0015856236786469344,0.0,0.0015856236786469344,0.0,1892
139183,200,0.0,1.6015151515151516,51.75422832980972,9.364904862579284,11.815221987315011,5.647780126849893,5.586152219873151,0.06004228329809725,0.00517970401691332,0.007505285412262156,1,0,0,0,0,0,0.0010570824524312897,0.0,0.0,0.0005285412262156448,0.0,1892
139184,100,0.0,1.4066666666666667,48.58148725949039,7.57077483099324,12.604264170566823,4.92792511700468,4.69058762350494,0.06281851274050962,0.007384295371814872,0.0070722828913156515,0,1,0,0,1,0,0.0010400416016640667,0.0,0.0,0.0005200208008320333,0.0,1923
139184,200,1.0,2.377202797202797,73.03234529381177,10.144461778471138,11.61560062402496,6.751534061362455,6.095683827353094,0.06843473738949557,0.014352574102964118,0.008112324492979718,1,0,1,1,0,0,0.005720228809152366,0.0015600624024961,0.0005200208008320333,0.0010400416016640667,0.0,1923
139185,100,0.0,5.191666666666666,49.82550408719346,8.130354223433242,15.34441416893733,5.550517711171661,5.3362397820163485,0.06299727520435967,0.006975476839237058,0.0074114441416893734,0,0,0,0,0,0,0.0016348773841961854,0.0,0.0,0.0010899182561307902,0.0,1835
